"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 17:38:01 CST 2022","Fri Jun 17 17:38:01 CST 2022","131","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_create_tag[case_info0]",""
"passed","Fri Jun 17 17:38:00 CST 2022","Fri Jun 17 17:38:00 CST 2022","233","testcase.encryption","test_encryption","TestEncryption","","","test_sign[case_info0]",""
"passed","Fri Jun 17 17:38:01 CST 2022","Fri Jun 17 17:38:01 CST 2022","189","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_file_upload[case_info0]",""
"passed","Fri Jun 17 17:38:00 CST 2022","Fri Jun 17 17:38:01 CST 2022","100","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_get_tags[case_info0]",""
"passed","Fri Jun 17 17:38:00 CST 2022","Fri Jun 17 17:38:00 CST 2022","28","testcase.encryption","test_encryption","TestEncryption","","","test_sign[case_info1]",""
"passed","Fri Jun 17 17:38:00 CST 2022","Fri Jun 17 17:38:00 CST 2022","29","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_get_access_token[case_info1]",""
"passed","Fri Jun 17 17:38:00 CST 2022","Fri Jun 17 17:38:00 CST 2022","122","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_get_access_token[case_info0]",""
"passed","Fri Jun 17 17:38:01 CST 2022","Fri Jun 17 17:38:01 CST 2022","121","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_delete_tag[case_info0]",""
"passed","Fri Jun 17 17:38:01 CST 2022","Fri Jun 17 17:38:01 CST 2022","111","testcase.wechat_api","test_wechat_api","TestWechatApi","","","test_edit_tag[case_info0]",""
